city_name,date,rain_sum (mm)
Anuradhapura,7/29/2011,1.9
Anuradhapura,7/30/2011,0.8
Anuradhapura,7/31/2011,0.0
Anuradhapura,8/1/2011,0.6
Anuradhapura,8/2/2011,0.2
Anuradhapura,8/3/2011,1.3
Anuradhapura,8/4/2011,0.6
Anuradhapura,8/5/2011,1.0
Anuradhapura,8/6/2011,0.9
Anuradhapura,8/7/2011,0.6
Anuradhapura,8/8/2011,0.6
Anuradhapura,8/9/2011,0.7
Anuradhapura,8/10/2011,0.5
Anuradhapura,8/11/2011,1.8
Anuradhapura,8/12/2011,7.9
Anuradhapura,8/13/2011,5.3
Anuradhapura,8/14/2011,0.4
Anuradhapura,8/15/2011,2.1
Anuradhapura,8/16/2011,2.1
Anuradhapura,8/17/2011,15.9
Anuradhapura,8/18/2011,0.6
Anuradhapura,8/19/2011,0.2
Anuradhapura,8/20/2011,0.8
Anuradhapura,8/21/2011,0.9
Anuradhapura,8/22/2011,0.9
Anuradhapura,8/23/2011,0.6
Anuradhapura,8/24/2011,0.6
Anuradhapura,8/25/2011,0.7
Anuradhapura,8/26/2011,0.6
Anuradhapura,8/27/2011,1.5
Anuradhapura,8/28/2011,1.1
Anuradhapura,8/29/2011,0.2
Anuradhapura,8/30/2011,1.1
Anuradhapura,8/31/2011,0.8
Anuradhapura,9/1/2011,0.9
Anuradhapura,9/2/2011,1.8
Anuradhapura,9/3/2011,0.0
Anuradhapura,9/4/2011,0.2
Anuradhapura,9/5/2011,1.5
Anuradhapura,9/6/2011,0.8
Anuradhapura,9/7/2011,1.2
Anuradhapura,9/8/2011,1.0
Anuradhapura,9/9/2011,2.8
Anuradhapura,9/10/2011,2.0
Anuradhapura,9/11/2011,3.0
Anuradhapura,9/12/2011,0.9
Anuradhapura,9/13/2011,4.6
Anuradhapura,9/14/2011,1.8
Anuradhapura,9/15/2011,1.8
Anuradhapura,9/16/2011,0.3
Anuradhapura,9/17/2011,0.4
Anuradhapura,9/18/2011,0.3
Anuradhapura,9/19/2011,0.0
Anuradhapura,9/20/2011,0.2
Anuradhapura,9/21/2011,4.0
Anuradhapura,9/22/2011,0.4
Anuradhapura,9/23/2011,0.0
Anuradhapura,9/24/2011,0.4
Anuradhapura,9/25/2011,0.7
Anuradhapura,9/26/2011,0.2
Anuradhapura,9/27/2011,0.6
Anuradhapura,9/28/2011,0.5
Anuradhapura,9/29/2011,0.4
Anuradhapura,9/30/2011,7.6
Anuradhapura,10/1/2011,0.8
Anuradhapura,10/2/2011,0.6
Anuradhapura,10/3/2011,0.2
Anuradhapura,10/4/2011,3.8
Anuradhapura,10/5/2011,2.7
Anuradhapura,10/6/2011,0.5
Anuradhapura,10/7/2011,4.2
Anuradhapura,10/8/2011,1.7
Anuradhapura,10/9/2011,0.4
Anuradhapura,10/10/2011,0.1
Anuradhapura,10/11/2011,8.3
Anuradhapura,10/12/2011,4.8
Anuradhapura,10/13/2011,4.1
Anuradhapura,10/14/2011,13.9
Anuradhapura,10/15/2011,8.6
Anuradhapura,10/16/2011,1.3
Anuradhapura,10/17/2011,2.1
